"pgi"	"subject"	"case"	"id"	"trialNr.x"	"condition"	"likelihood.read"	"likelihood.share"	"dfc"	"subject.y"	"trialNr.y"	"case.x"	"condition.x"	"num.fix.total"	"mean.fixation.duration..s."	"mean.fixation.duration.in.AOI..s."	"mean.fixation.duration.not.in.AOI..s."	"num.dwells_01.source."	"num.dwells_02.intro."	"num.dwells_03.image."	"num.dwells_04.headline."	"num.dwells_05.reactions."	"num.dwells_06.count."	"num.dwells_07.comtop."	"num.dwells_08.combottom."	"mean.dwell.dur_01.source...s."	"mean.dwell.dur_02.intro...s."	"mean.dwell.dur_03.image...s."	"mean.dwell.dur_04.headline...s."	"mean.dwell.dur_05.reactions...s."	"mean.dwell.dur_06.count...s."	"mean.dwell.dur_07.comtop...s."	"mean.dwell.dur_08.combottom...s."	"total.dwell.dur_01.source...s."	"total.dwell.dur_02.intro...s."	"total.dwell.dur_03.image...s."	"total.dwell.dur_04.headline...s."	"total.dwell.dur_05.reactions...s."	"total.dwell.dur_06.count...s."	"total.dwell.dur_07.comtop...s."	"total.dwell.dur_08.combottom...s."	"total.dwell.dur.before.comment_01.source...s."	"total.dwell.dur.before.comment_02.intro...s."	"total.dwell.dur.before.comment_03.image...s."	"total.dwell.dur.before.comment_04.headline...s."	"total.dwell.dur.before.comment_05.reactions...s."	"total.dwell.dur.before.comment_06.count...s."	"total.dwell.dur.after.comment_01.source...s."	"total.dwell.dur.after.comment_02.intro...s."	"total.dwell.dur.after.comment_03.image...s."	"total.dwell.dur.after.comment_04.headline...s."	"total.dwell.dur.after.comment_05.reactions...s."	"total.dwell.dur.after.comment_06.count...s."	"first.fix.latency_01.source...s."	"first.fix.latency_02.intro...s."	"first.fix.latency_03.image...s."	"first.fix.latency_04.headline...s."	"first.fix.latency_05.reactions...s."	"first.fix.latency_06.count...s."	"first.fix.latency_07.comtop...s."	"first.fix.latency_08.combottom...s."	"mean.RMS..deg."	"mean.sqrt.BCEA...deg."	"data.loss..fraction."	"total.dwell.dur_09.com"	"total_dwell_comments"	"total_dwell_post_comments"	"total_dwell_post"	"total_dwell_post_before"	"total_dwell_post_after"	"case.y"	"condition.y"	"charCount1"	"wordCount1"	"charCount2"	"wordCount2"	"comments_char_count"	"comments_word_count"	"rel_dwell_com_cc"	"rel_dwell_com_wc"	"post_genre"	"post_po_binary"	"Timestamp"	"Fyll.i.ditt.födelseår"	"Kön"	"freq_facebook_use"	"freq_share_binary"	"comments_share"	"variable"	"post_genre_subject_interest"	"post_genre_binary"
"100-cu"	100	"124292684247609_1529460447064152"	"100|124292684247609_1529460447064152|disagree"	8	"disagree"	0.933	0.011	"124292684247609_1529460447064152|disagree"	100	8	"124292684247609_1529460447064152"	"disagree"	25	0.188	0.188	0	0	0	2	1	0	1	1	2	0	0	0.575	1.018	0	0.355	0.646	0.77	0	0	1.149	1.018	0	0.355	0.646	1.54	0	0	0.952	1.018	0	0	0	0	0.197	0	0	0.355	0	0	0.179	1.319	0	5.211	2.829	2.436	0.176	0.207	0	2.186	2.186	4.708	2.522	1.97	0.552	"124292684247609_1529460447064152"	"disagree"	37	7	38	6	75	13	29.1466666666667	168.153846153846	"cu"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"cu"	4	"0"
"100-cu"	100	"124292684247609_1635135699829959"	"100|124292684247609_1635135699829959|agree"	5	"agree"	0.267	0	"124292684247609_1635135699829959|agree"	100	5	"124292684247609_1635135699829959"	"agree"	33	0.205	0.207	0.153	0	2	5	3	1	1	1	1	0	0.402	0.367	0.464	0.115	0.487	1.508	0.472	0	0.803	1.836	1.391	0.115	0.487	1.508	0.472	0	0.803	0.74	0.571	0.115	0.487	0	0	1.096	0.82	0	0	0	0.394	0.212	1.467	1.696	2.232	3.376	5.191	0.052	0.151	0	1.98	1.98	6.612	4.632	2.716	1.916	"124292684247609_1635135699829959"	"agree"	51	13	23	7	74	20	26.7567567567568	99	"cu"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"cu"	4	"0"
"100-cu"	100	"124292684247609_1846952198648307"	"100|124292684247609_1846952198648307|disagree"	2	"disagree"	0.033	0.022	"124292684247609_1846952198648307|disagree"	100	2	"124292684247609_1846952198648307"	"disagree"	63	0.21	0.211	0.216	1	2	5	2	2	2	2	1	0.942	0.16	0.461	0.825	0.482	0.185	1.194	2.869	0.942	0.32	2.304	1.649	0.963	0.37	2.387	2.869	0.942	0.165	0.712	1.184	0.143	0	0	0.155	0.525	0.465	0.82	0.37	0.536	0.359	0.172	3.657	3.504	12.49	5.345	9.304	0.066	0.183	0.001	5.256	5.256	11.804	6.548	3.146	2.335	"124292684247609_1846952198648307"	"disagree"	160	42	115	27	275	69	19.1127272727273	76.1739130434783	"cu"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"cu"	4	"0"
"100-cu"	100	"124292684247609_1707733802570148"	"100|124292684247609_1707733802570148|agree"	3	"agree"	10	7.5	"124292684247609_1707733802570148|agree"	100	3	"124292684247609_1707733802570148"	"agree"	70	0.207	0.207	0.193	2	2	4	3	2	1	4	3	0.338	0.759	0.211	0.565	0.163	0.292	1.016	1.346	0.675	1.519	0.846	1.696	0.327	0.292	4.064	4.037	0.383	1.519	0.445	1.087	0.152	0	0.292	0	0.401	0.609	0.175	0.292	1.63	0.356	0.195	2.698	2.538	14.905	4.41	6.29	0.111	0.225	0.015	8.101	8.101	13.456	5.355	3.586	1.769	"124292684247609_1707733802570148"	"agree"	111	25	147	33	258	58	31.3992248062015	139.672413793103	"cu"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"cu"	4	"0"
"100-ec"	100	"124292684247609_1770258722984322"	"100|124292684247609_1770258722984322|disagree"	6	"disagree"	4.756	1.322	"124292684247609_1770258722984322|disagree"	100	6	"124292684247609_1770258722984322"	"disagree"	50	0.21	0.21	0	0	3	2	2	1	0	1	1	0	0.256	0.512	1.162	0.202	0	0.424	5.763	0	0.768	1.023	2.324	0.202	0	0.424	5.763	0	0.348	1.023	2.141	0	0	0	0.42	0	0.183	0.202	0	0	0.162	0.352	1.746	11.676	0	4.271	4.716	0.091	0.144	0	6.187	6.187	10.504	4.317	3.512	0.805	"124292684247609_1770258722984322"	"disagree"	9	1	162	36	171	37	36.1812865497076	167.216216216216	"ec"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"ec"	2	"1"
"100-ec"	100	"124292684247609_1618187394858123"	"100|124292684247609_1618187394858123|agree"	19	"agree"	5.378	1.789	"124292684247609_1618187394858123|agree"	100	19	"124292684247609_1618187394858123"	"agree"	84	0.213	0.213	0	0	3	6	3	1	0	3	2	0	1	0.294	0.727	0.303	0	1.885	2.481	0	3	1.765	2.181	0.303	0	5.656	4.962	0	1.944	0.887	1.243	0.303	0	0	1.056	0.878	0.938	0	0	0	0.155	1.857	2.792	4.917	0	5.24	10.781	0.055	0.122	0.001	10.618	10.618	17.867	7.249	4.377	2.872	"124292684247609_1618187394858123"	"agree"	133	32	124	23	257	55	41.3151750972763	193.054545454545	"ec"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"ec"	2	"1"
"100-ec"	100	"124292684247609_1646987058644823"	"100|124292684247609_1646987058644823|agree"	14	"agree"	5.244	2.8	"124292684247609_1646987058644823|agree"	100	14	"124292684247609_1646987058644823"	"agree"	72	0.226	0.226	0.206	0	1	4	2	0	1	2	1	0	1.595	0.45	0.975	0	0.253	2.551	5.131	0	1.595	1.799	1.949	0	0.253	5.101	5.131	0	1.595	0.811	0.988	0	0	0	0	0.988	0.961	0	0.253	0	0.16	2.048	2.223	0	17.61	4.245	9.603	0.064	0.157	0.006	10.232	10.232	15.828	5.596	3.394	2.202	"124292684247609_1646987058644823"	"agree"	137	28	154	32	291	60	35.1615120274914	170.533333333333	"ec"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"ec"	2	"1"
"100-ec"	100	"124292684247609_1658676644142531"	"100|124292684247609_1658676644142531|disagree"	11	"disagree"	7	2.422	"124292684247609_1658676644142531|disagree"	100	11	"124292684247609_1658676644142531"	"disagree"	71	0.23	0.23	0	0	2	4	4	0	0	2	1	0	0.885	0.341	0.451	0	0	4.08	3.254	0	1.77	1.363	1.804	0	0	8.16	3.254	0	1.256	0.872	0.425	0	0	0	0.514	0.491	1.379	0	0	0	0.34	0.156	2.49	0	0	2.963	11.794	0.055	0.124	0	11.414	11.414	16.351	4.937	2.553	2.384	"124292684247609_1658676644142531"	"disagree"	262	57	132	31	394	88	28.9695431472081	129.704545454545	"ec"	0	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"ec"	2	"1"
"100-po"	100	"124292684247609_1521205261223004"	"100|124292684247609_1521205261223004|agree"	13	"agree"	6.456	2.522	"124292684247609_1521205261223004|agree"	100	13	"124292684247609_1521205261223004"	"agree"	73	0.221	0.219	0	0	2	3	3	0	0	2	2	0	1.727	0.459	0.637	0	0	2.354	2.046	0	3.454	1.377	1.911	0	0	4.708	4.091	0	1.999	0.323	0.692	0	0	0	1.455	1.054	1.219	0	0	0	0.156	3.313	3.679	0	0	4.466	7.217	0.051	0.139	0	8.799	8.799	15.541	6.742	3.014	3.728	"124292684247609_1521205261223004"	"agree"	87	20	72	19	159	39	55.3396226415094	225.615384615385	"po"	1	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"po"	4	"1"
"100-po"	100	"124292684247609_1587741834569346"	"100|124292684247609_1587741834569346|agree"	7	"agree"	8.4	6.278	"124292684247609_1587741834569346|agree"	100	7	"124292684247609_1587741834569346"	"agree"	99	0.213	0.216	0.207	1	3	3	2	0	0	3	2	0.155	1.738	0.445	1.136	0	0	0.943	4.028	0.155	5.215	1.336	2.272	0	0	2.83	8.056	0.155	3.178	0.409	1.109	0	0	0	2.037	0.927	1.163	0	0	0.255	0.435	6.614	5.379	0	0	7.215	9.042	0.103	0.179	0	10.886	10.886	19.864	8.978	4.851	4.127	"124292684247609_1587741834569346"	"agree"	71	15	228	49	299	64	36.4080267558528	170.09375	"po"	1	"10/15/2018 15:15:16"	1997	"Kvinna"	3	1	4	"po"	4	"1"
