"ID"	"VAR00"	"VAR00_1"	"VAR01"	"VAR02"	"VAR03"	"VAR03_1"	"VAR04_1"	"VAR04_2"	"VAR04_3"	"VAR04_4"	"VAR04_5"	"VAR04_6"	"VAR04_7"	"VAR04_8"	"VAR04_9"	"VAR04_10"	"VAR04_11"	"VAR04_12"	"VAR04_13"	"VAR04_14"	"VAR04_15"	"VAR04_16"	"VAR05_1"	"VAR05_2"	"VAR05_3"	"VAR05_4"	"VAR05_5"	"VAR05_6"	"VAR05_7"	"VAR06_1"	"VAR06_2"	"VAR06_3"	"VAR06_4"	"VAR06_5"	"VAR06_6"	"VAR07_1"	"VAR07_2"	"VAR07_3"	"VAR07_4"	"VAR07_5"	"VAR07_6"	"VAR07_7"	"VAR07_8"	"VAR07_9"	"VAR08_1"	"VAR08_2"	"VAR08_3"	"VAR08_4"	"VAR08_5"	"VAR08_6"	"VAR09_1"	"demo_age"	"demo_gender"	"VAR12"	"VAR12_1"	"VAR13"	"VAR14"	"VAR14_1"	"VAR15"	"VAR16"	"VAR17"	"VAR18"	"demo_nationality"	"gen_insec_mean"	"dest_info_mean"	"gen_trav_sum"	"gen_trav_int"	"gen_trav_bin"	"dest_sec"	"dest_trav_int"
4	7	1	5	21	6	1	5	5	4	5	5	4	4	4	4	4	3	3	3	2	4	4	5	4	4	5	5	5	5	2	4	3	4	4	4	2	2	2	2	4	2	3	2	2	5	5	3	2	2	2	4	23	"female"	1	1	5	5	1	2	5	1	0	"swe"	3.16666666666667	3.4	1	1	1	4	5
5	7	1	2	3	1	1	5	4	4	4	5	5	5	5	5	4	3	4	4	4	5	4	4	4	3	4	4	4	4	4	4	2	4	4	4	2	2	3	2	2	2	4	3	3	4	4	2	2	2	2	5	35	"female"	1	1	6	5	1	6	4	1	0	"swe"	2.66666666666667	3.6	1	1	1	5	2
6	7	1	1	1	2	1	5	5	5	5	NA	5	5	2	NA	NA	5	NA	NA	5	5	NA	4	4	4	4	4	4	4	2	3	3	4	4	3	2	2	2	2	2	2	4	4	2	4	4	4	4	4	4	4	57	"female"	8	1	4	4	1	3	0	3	0	"int"	4	3.2	3	2	2	5	1
7	7	1	1	1	2	1	4	3	4	4	3	4	4	4	3	5	5	3	3	4	4	4	4	4	4	3	4	4	4	4	5	4	3	3	5	3	2	2	2	2	2	2	3	2	2	4	4	4	2	2	5	56	"male"	8	1	7	3	1	4	34	4	4	"int"	3	3.8	8	3	2	4	1
8	7	1	1	1	2	1	5	4	5	5	NA	4	4	4	NA	4	4	NA	5	4	4	5	5	5	5	5	5	5	5	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	59	"male"	8	1	1	3	1	6	0	1	0	"int"	2	4	1	1	1	4	1
9	7	1	1	1	2	1	4	4	4	5	3	3	3	4	3	3	3	3	3	3	3	3	4	3	4	4	4	4	4	3	3	4	4	3	4	2	2	2	2	2	2	2	2	4	4	4	4	4	2	2	4	55	"female"	8	1	1	3	1	2	0	20	0	"int"	3.33333333333333	3.4	20	3	2	3	1
10	7	1	1	21	1	1	5	5	4	4	3	4	4	5	5	3	3	3	4	5	5	5	5	5	5	4	5	5	5	4	4	3	4	3	4	2	2	2	2	1	1	2	2	2	2	4	3	2	1	2	5	25	"male"	11	1	1	5	1	4	3	3	4	"int"	2.33333333333333	3.6	7	3	2	5	1
11	7	1	1	4	1	1	5	5	4	5	5	4	5	4	NA	NA	1	NA	NA	4	5	5	5	5	5	5	5	5	5	3	3	3	4	4	4	4	4	3	4	4	3	4	3	4	4	4	3	4	4	3	4	25	"male"	11	1	2	5	1	4	0	0	0	"int"	3.66666666666667	3.4	0	1	1	5	1
12	7	1	5	17	6	1	5	5	5	5	5	4	4	4	5	3	2	4	4	2	2	3	4	4	3	4	4	3	3	4	3	3	3	3	3	2	2	2	3	4	3	3	4	3	4	4	4	5	5	4	4	18	"female"	1	1	2	2	1	4	2	1	1	"swe"	4.33333333333333	3.2	2	2	2	2	5
13	7	1	3	4	1	1	5	5	5	5	5	4	5	5	5	5	5	3	3	4	5	3	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	27	"female"	1	1	6	8	7	5	1	1	0	"swe"	3	4	1	1	1	5	3
14	7	1	5	30000	7	5	4	2	4	4	3	2	4	1	2	2	2	4	5	4	2	3	4	5	5	5	5	5	5	3	5	3	4	4	4	2	1	2	3	3	2	4	4	4	4	5	5	4	1	2	5	18	"female"	1	1	2	3	1	2	0	2	0	"swe"	3.5	3.8	2	2	2	2	5
15	7	1	5	21	6	1	5	4	4	4	3	2	4	4	3	2	1	3	2	4	5	3	5	4	5	5	5	5	5	3	3	4	4	4	3	2	1	1	1	2	2	1	1	1	1	4	1	1	1	1	5	19	"female"	1	1	5	3	1	2	0	4	0	"swe"	1.5	3.6	4	3	2	5	5
16	7	1	1	1	1	1	5	3	5	5	NA	5	5	5	NA	4	5	NA	5	5	5	NA	5	5	6	6	5	5	5	4	5	4	3	4	4	2	2	3	2	3	2	1	1	2	3	4	4	2	2	2	5	18	"male"	6	1	5	3	1	5	0	1	0	"int"	2.83333333333333	4	1	1	1	5	1
17	7	1	1	6	1	1	5	4	5	5	5	5	5	5	5	3	4	3	3	4	5	5	5	5	4	5	4	4	5	4	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	5	2	2	2	1	5	63	"male"	11	1	3	6	1	1	0	1	0	"int"	2.33333333333333	2.6	1	1	1	5	1
18	7	1	1	5	7	40	5	5	NA	5	NA	5	5	5	5	NA	NA	NA	NA	4	5	NA	5	5	5	5	5	5	5	4	4	3	4	4	4	1	1	1	1	1	1	1	1	1	4	4	3	2	1	1	5	63	"female"	11	1	2	6	1	2	0	1	0	"int"	2.5	3.8	1	1	1	5	1
19	7	1	1	5	1	1	5	5	NA	NA	2	NA	NA	NA	5	3	3	3	3	4	5	3	5	4	4	4	5	5	5	3	3	3	3	4	4	1	1	2	2	1	1	4	2	2	4	4	2	2	1	2	5	26	"female"	11	1	4	6	1	1	3	1	0	"int"	2.5	3.2	1	1	1	5	1
20	7	1	1	5	1	1	4	3	4	4	4	5	5	5	5	NA	4	NA	NA	4	4	4	4	5	4	4	5	5	5	4	4	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	28	"male"	11	1	4	6	1	1	0	1	0	"int"	2	2.8	1	1	1	4	1
21	7	1	1	1	2	1	3	5	3	4	3	4	3	4	3	3	3	3	3	4	5	5	5	5	5	5	5	5	5	4	4	4	3	3	4	3	2	2	2	2	2	4	3	3	4	4	3	3	2	4	4	53	"female"	8	1	4	2	1	2	0	2	0	"int"	3.33333333333333	3.6	2	2	2	5	1
22	7	1	1	1	2	1	4	4	4	4	3	4	4	4	3	3	3	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	3	2	2	2	4	2	2	2	4	5	56	"male"	8	1	8	4	1	3	2	3	1	"int"	2.66666666666667	4	4	3	2	4	1
23	7	1	4	6	1	1	4	4	4	4	4	5	5	5	5	5	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	5	1	1	1	1	1	1	2	1	1	5	5	5	5	5	2	5	20	"male"	12	1	2	3	1	3	0	1	0	"int"	4.5	4.4	1	1	1	5	4
