"label"	"vars"
"ID"	"ID"
"Vilken är din huvudsakliga destination för din resa?"	"VAR00"
"Vilken är din huvudsakliga destination för din resa? - Annan"	"VAR00_1"
"Hur många gånger har du besökt destinationen tidigare?"	"VAR01"
"Hur många dagar har du vistats i destination vid detta besök?"	"VAR02"
"Vad är anledningen till ditt besök i destinationen?"	"VAR03"
"Vad är anledningen till ditt besök i destinationen? - Annan"	"VAR03_1"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med kulturella och historiska miljöer"	"VAR04_1"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt utbud av shopping"	"VAR04_2"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med kulturella aktiviteter (exempel konserter, sportevent, museum och teater)"	"VAR04_3"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med pubar, restauranger och caféer"	"VAR04_4"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt stort utbud av nattlivsaktiviteter"	"VAR04_5"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med grönområden och parker"	"VAR04_6"
"Enligt din uppfattning har/är destinationen:  - Väl underhållna grönområden och parker"	"VAR04_7"
"Enligt din uppfattning har/är destinationen:  - Väl underhållna och städade gator och trottoarer"	"VAR04_8"
"Enligt din uppfattning har/är destinationen:  - Gator och trottoarer är väl belysta på kvällen"	"VAR04_9"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med uttagsautomater"	"VAR04_10"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med punkter för gratis WIFI"	"VAR04_11"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt vårdutbud"	"VAR04_12"
"Enligt din uppfattning har/är destinationen:  - Tillräckligt med apotek"	"VAR04_13"
"Enligt din uppfattning har/är destinationen:  - Lugn miljö"	"VAR04_14"
"Enligt din uppfattning har/är destinationen:  - Säker miljö"	"VAR04_15"
"Enligt din uppfattning har/är destinationen:  - Låg brottslighet"	"VAR04_16"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg med att promenera på gator där det finns mycket folk"	"VAR05_1"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg med att promenera på gågator där det finns trafikhinder (exempel betongblock, pollare och staket)"	"VAR05_2"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg med att promenera på gator där det finns övervakningskameror"	"VAR05_3"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg med att promenera på gator där det finns patrullerande polis och vakter"	"VAR05_4"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg på gator med affärsverksamhet på bottenvåningar (exempelvis affärer, caféer)"	"VAR05_5"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg på gator med inbjudande och öppen arkitektur"	"VAR05_6"
"I vilken utsträckning instämmer du om följande påståenden om destinationen du besöker - Jag känner mig trygg på gator som är städade"	"VAR05_7"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att söka efter information om säkerhet i staden som jag vill besöka före jag fattar ett beslut"	"VAR06_1"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att söka efter information om säkra och osäkra platser i staden som jag vill besöka innan min resa"	"VAR06_2"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att läsa mitt lands utrikesdepartements reseinformation om säkerhet i staden jag vill besöka"	"VAR06_3"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att läsa nyheter (traditionellt eller digitalt) för att få information om säkerhet i staden"	"VAR06_4"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att läsa officiell turistinformation för att få information om en stads säkerhet innan min resa"	"VAR06_5"
"Till vilken grad instämmer du i följande påståenden - Det är viktigt att tala med släkt och vänner för att få information om säkerheten i en stad som jag ska besöka"	"VAR06_6"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator där det finns trafikhinder (exempel betongblock, pollare och staket)"	"VAR07_1"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator där det finns övervakningskameror"	"VAR07_2"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator där det finns patrullerande polis och vakter"	"VAR07_3"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator och platser i en stad där det är finns grafitti"	"VAR07_4"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator och platser i en stad där det finns få människor"	"VAR07_5"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator och platser i en stad där det finns folksamlingar"	"VAR07_6"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på nedskräpade gator"	"VAR07_7"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator med sterila, monotona fasader och stängda portar"	"VAR07_8"
"Till vilken grad instämmer du i följande påståenden - Jag känner mig otrygg på gator med lite affärsverksamhet på bottenvåningar"	"VAR07_9"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av kreditkortsbedrägeri"	"VAR08_1"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av ficktjuvar"	"VAR08_2"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av rån"	"VAR08_3"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av överfall"	"VAR08_4"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av upplopp"	"VAR08_5"
"Till vilken grad instämmer du i följande påståenden - När jag reser är jag orolig för att bli drabbad av terroristattack"	"VAR08_6"
"Till vilken grad instämmer du i följande påståenden - Jag har överlag en positiv bild av Sverige"	"VAR09_1"
"Hur gammal är du?"	"VAR10"
"Vilket är ditt kön?"	"VAR11"
"Vilket land är du bosatt?"	"VAR12"
"Vilket land är du bosatt? - Annat"	"VAR12_1"
"Jag bor i en ort med följande antal invånare"	"VAR13"
"Vilken är din högsta utbildningsnivå?"	"VAR14"
"Vilken är din högsta utbildningsnivå? - Annat"	"VAR14_1"
"Hur ofta reser du privat inom Sverige per år?"	"VAR15"
